Id,LotFrontage,LotArea,BldgType,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold,SalePrice
1608,69,5825,1Fam,5,4,2,1,7,1910,858,2,GasA,Y,1126,0,2010,78663.282701614
1609,48,11409,Duplex,5,5,1,0,8,2003,1175,3,GasA,Y,2000,0,2007,129291.290733178
1610,60,18386,1Fam,5,5,1,1,7,1989,1501,3,GasA,Y,1053,0,2006,161908.129186349
1611,80,8450,1Fam,5,5,2,0,7,1998,892,2,GasA,Y,1040,0,2006,156037.269089502
1612,,9600,1Fam,10,5,1,1,8,1972,716,3,GasW,Y,1040,0,2009,172733.314866294
1613,35,14157,TwnhsE,7,5,2,0,6,2005,1040,2,GasA,Y,1108,0,2007,198576.672826901
1614,65,11394,1Fam,5,7,1,0,7,1975,1092,3,GasA,Y,1121,0,2008,143674.394615252
1615,21,9180,1Fam,6,5,1,0,5,1929,384,3,GasA,Y,816,0,2007,62497.5918671666
1616,82,15660,1Fam,5,5,1,0,3,1910,1268,3,GasA,Y,1470,0,2006,179937.830434311
1617,36,11841,1Fam,4,8,2,0,9,1927,721,4,GasA,Y,1026,0,2009,92984.6922402885
1618,65,17920,1Fam,6,5,2,0,8,1998,1362,3,GasA,Y,1644,0,2007,201501.177511042
1619,82,7264,1Fam,5,8,2,0,5,1900,1114,3,GasA,Y,1520,0,2009,128058.701599614
1620,99,22420,1Fam,8,5,2,0,5,2005,1128,2,GasA,Y,1696,0,2008,232138.619309785
1621,,8125,1Fam,5,5,1,0,4,1983,540,3,GasA,Y,1285,0,2009,163444.535033843
1622,40,10000,1Fam,5,4,1,0,5,2007,1444,3,GasW,N,1198,0,2008,166891.412624878
1623,70,9591,1Fam,4,5,2,1,5,1948,1845,3,GasA,Y,912,0,2009,122603.762592987
1624,60,11426,Duplex,8,5,1,0,4,1940,964,3,GasA,Y,1123,0,2006,196685.924947667
1625,80,3230,1Fam,5,6,2,0,4,1957,1392,4,GasA,Y,2448,0,2007,189733.405816071
1626,80,10206,1Fam,6,5,2,0,6,1910,506,2,GasA,Y,1800,0,2006,146389.347807567
1627,98,10395,1Fam,7,5,2,1,6,1963,848,4,GasA,Y,2519,0,2009,214839.154310832
1628,60,10500,1Fam,5,5,1,1,9,1966,1064,3,GasA,Y,1839,0,2009,140651.860673357
1629,59,9548,1Fam,7,5,2,1,8,2008,1140,3,GasA,Y,1494,0,2006,204659.008612909
1630,52,8089,1Fam,5,4,1,0,6,1977,637,3,GasA,Y,1502,0,2010,102729.017102307
1631,,13400,1Fam,6,5,2,0,7,2004,1470,4,GasA,Y,864,0,2008,139423.986425255
1632,51,8400,TwnhsE,5,4,1,0,9,1996,972,4,GasA,Y,1194,0,2007,114045.133962914
1633,85,13560,1Fam,4,7,1,1,7,1975,1010,3,GasA,N,2614,0,2009,179389.926486844
1634,88,6600,1Fam,7,8,1,0,6,1960,980,3,GasA,Y,2295,0,2007,220994.141650905
1635,70,8400,Twnhs,7,4,2,1,5,1920,1316,3,GasA,Y,894,0,2008,114741.574448366
1636,60,10667,1Fam,5,5,1,0,7,1993,1482,2,GasA,Y,987,0,2007,153412.362008468
1637,79,17104,1Fam,5,6,2,0,6,2006,770,2,GasA,Y,1716,0,2008,155483.070387608
1638,55,11248,TwnhsE,5,5,2,0,6,1971,560,4,GasA,Y,1436,0,2010,161708.001512086
1639,65,10800,1Fam,5,5,1,1,11,2005,616,3,GasA,Y,1352,0,2009,144170.681622018
1640,70,8125,1Fam,6,5,1,0,7,1939,1056,3,GasA,Y,848,0,2007,114855.603769061
1641,75,9056,1Fam,8,5,2,1,8,1959,1078,3,GasA,Y,1680,0,2009,200900.025646536
1642,43,8791,2fmCon,6,5,2,1,7,1970,1498,3,GasA,Y,1324,0,2010,165348.68225437
1643,60,12011,1Fam,9,7,2,0,7,1941,1686,3,GasA,Y,2062,0,2006,340907.394322777
1644,69,7200,1Fam,5,5,2,0,7,1982,1425,2,GasA,Y,1895,0,2007,183080.530031368
1645,64,9937,1Fam,7,5,1,0,5,2004,1013,3,GasA,Y,1097,0,2006,171511.187729112
1646,74,2117,1Fam,5,5,1,0,6,2001,874,3,GasA,Y,2668,0,2007,201841.438121151
1647,60,13907,1Fam,5,5,2,1,4,2006,768,2,GasA,Y,1406,0,2006,173572.735571006
1648,64,11851,1Fam,9,5,1,1,7,1957,1099,3,GasA,Y,2274,0,2009,284719.652447778
1649,70,17104,1Fam,6,5,2,0,6,1982,876,3,GasA,Y,1196,0,2006,107940.287444821
1650,,7332,TwnhsE,2,4,1,0,5,2000,1367,3,GasA,Y,2030,0,2006,159196.800892808
1651,52,4590,1Fam,5,5,1,0,4,1960,1486,2,GasA,Y,1726,0,2010,177770.656864496
1652,60,4500,1Fam,8,4,2,0,6,1986,1176,2,GasA,Y,1378,0,2009,199614.039271093
1653,44,8967,1Fam,4,5,1,0,6,2004,1113,2,GasA,Y,1096,0,2008,93383.332199743
1654,,10463,1Fam,7,6,2,1,4,1940,483,3,GasA,Y,1501,0,2008,167059.485786068
1655,,6240,Duplex,5,5,2,1,6,1980,1373,2,GasA,Y,1056,0,2006,178839.957057826
1656,58,8314,1Fam,7,6,1,1,8,1955,912,3,GasA,Y,1225,0,2009,159660.731384796
1657,,8885,1Fam,3,7,1,1,4,2003,0,3,GasA,Y,1668,0,2010,132157.890000189
1658,71,7200,1Fam,5,5,2,1,7,1940,1629,2,GasA,Y,1852,0,2010,169416.00866883
1659,82,8125,1Fam,6,6,1,0,7,1954,630,3,GasA,Y,2520,0,2008,168447.420119832
1660,,9750,1Fam,5,5,1,1,8,2009,1095,2,GasA,Y,1716,0,2006,219202.565667334
1661,,9750,1Fam,7,5,1,0,5,1961,1122,3,GasA,Y,1430,0,2008,179634.238289211
1662,,12358,1Fam,5,3,2,0,5,1997,1109,3,Wall,Y,1558,0,2006,175255.867012209
1663,85,9313,1Fam,5,7,1,0,8,1992,981,4,GasA,Y,3608,0,2010,246467.71192923
1664,70,14191,1Fam,8,6,2,0,5,2003,941,3,GasA,Y,1252,0,2010,219629.391853808
1665,40,53107,Duplex,7,9,2,0,5,1953,1385,1,GasA,Y,841,0,2010,175828.446222625
1666,55,9200,1Fam,6,5,1,0,6,1994,689,4,GasA,Y,2794,0,2007,170907.505909285
1667,50,10800,1Fam,5,6,2,1,7,1993,936,2,Grav,Y,2696,0,2006,209825.723780801
1668,,8012,1Fam,5,5,2,0,6,2005,1056,3,GasA,Y,1922,0,2006,188823.491557721
1669,88,8544,1Fam,7,5,1,0,6,2009,1517,1,GasA,N,1230,0,2009,246282.183791064
1670,50,11194,1Fam,4,5,3,1,8,1950,860,3,GasA,Y,2121,0,2007,186110.307141738
1671,,12552,1Fam,7,8,0,1,6,1923,789,2,GasW,Y,1302,0,2008,180636.264708891
1672,65,9600,1Fam,7,7,2,0,6,1994,728,3,GasA,Y,1895,0,2009,215971.788323102
1673,68,7844,1Fam,8,5,1,1,7,2004,1686,1,GasA,Y,2515,0,2007,334060.482446318
1674,92,8480,1Fam,8,5,1,0,7,1956,1468,3,GasA,Y,1387,0,2009,204265.52552917
1675,80,6371,1Fam,6,5,1,2,10,1936,1566,1,GasA,Y,1484,0,2009,148018.444393768
1676,44,11838,1Fam,6,5,1,1,6,1976,939,3,GasA,Y,1566,0,2009,121852.661562261
1677,,12182,1Fam,10,5,1,0,5,1999,684,2,GasA,Y,1092,0,2006,197098.303854554
1678,85,13286,1Fam,7,6,2,0,6,2005,1930,3,GasA,Y,1651,0,2009,225470.416620419
1679,73,1936,2fmCon,5,6,3,0,4,1890,1210,2,GasA,Y,1666,0,2009,104358.601659853
1680,,9000,1Fam,6,5,1,1,7,1966,836,3,GasA,Y,720,0,2007,148498.822596847
1681,67,11214,1Fam,5,6,2,1,12,1923,3138,3,GasA,Y,1053,0,2009,192256.816140445
1682,,9382,1Fam,5,5,2,1,8,2002,1431,3,GasA,Y,990,0,2009,181110.229427735
1683,,6000,1Fam,8,5,1,0,4,2004,1158,3,GasA,Y,1344,0,2007,189117.418063961
1684,,13518,Duplex,6,6,2,1,7,1920,742,3,GasA,Y,1684,0,2008,177779.979542989
1685,70,10800,2fmCon,5,5,1,0,7,2005,1453,2,GasA,Y,1284,0,2008,194006.221411829
1686,79,1936,1Fam,4,7,1,0,7,1924,1502,3,GasA,Y,1284,0,2007,141905.132645789
1687,50,7630,TwnhsE,6,5,1,1,5,1936,893,4,GasA,Y,1375,0,2008,133342.17562354
1688,72,10480,1Fam,4,5,2,0,7,1950,1541,3,GasA,N,2054,0,2006,157531.910531253
1689,85,6120,TwnhsE,7,7,1,0,9,1958,720,2,GasA,Y,1940,0,2009,148818.570122515
1690,80,9018,1Fam,7,3,1,0,7,1950,1413,3,GasA,Y,875,0,2009,122742.821204772
1691,60,10800,1Fam,5,5,2,1,5,2005,684,3,GasA,Y,2646,0,2008,243203.106022033
1692,104,8410,1Fam,5,5,1,0,6,1965,1533,3,GasA,Y,2822,0,2006,187117.373474269
1693,60,4928,1Fam,5,7,1,1,7,1925,1728,3,GasA,Y,1724,0,2007,188402.461208946
1694,,12456,1Fam,5,5,2,2,7,1999,680,3,GasA,Y,987,0,2006,159468.941754533
1695,75,18450,1Fam,5,5,2,0,6,1992,0,4,GasA,Y,1220,0,2010,109172.045017893
1696,60,10004,1Fam,6,5,2,0,6,1948,1584,3,GasW,Y,1501,0,2006,153870.366377298
1697,77,13346,1Fam,6,6,2,0,6,1988,1453,2,GasA,Y,1947,0,2008,241669.528598512
1698,68,8520,1Fam,5,6,2,1,7,2006,1422,4,GasA,Y,1131,0,2006,191417.816642519
1699,82,11000,1Fam,8,7,1,1,7,1994,1176,2,GasA,N,1944,0,2006,274706.543505628
1700,70,10267,1Fam,7,6,2,1,8,2003,780,2,GasA,Y,894,0,2006,169674.342627854
1701,71,14154,1Fam,7,5,1,0,4,1953,3200,2,GasA,Y,1469,0,2008,190022.532879853
1702,,15602,1Fam,8,5,1,1,6,1981,1004,3,GasA,Y,1113,0,2009,171275.674413671
1703,59,4280,1Fam,8,5,1,0,5,1976,894,4,GasA,Y,1204,0,2006,185137.571343123
1704,,7577,1Fam,5,5,1,0,8,1940,0,2,GasA,Y,1306,0,2007,157106.025462024
1705,,7800,1Fam,5,5,2,0,6,2004,880,3,GasA,Y,1053,0,2006,144402.222410803
1706,45,3196,1Fam,5,6,2,1,5,1977,1234,4,GasA,Y,813,0,2007,131153.841351378
1707,75,4224,2fmCon,5,5,1,0,9,2004,884,3,GasA,Y,864,0,2009,120251.340387058
1708,44,18450,1Fam,7,5,1,0,9,1968,1090,4,GasA,Y,1700,0,2008,160140.591861414
1709,,9144,1Fam,5,7,2,0,4,1965,1144,3,GasA,Y,1192,0,2009,160238.618017004
1710,80,12030,1Fam,7,5,2,1,7,2006,1436,3,GasA,Y,1337,0,2008,253548.210850636
1711,68,9382,TwnhsE,7,5,2,0,6,1954,864,3,GasA,Y,2270,0,2009,179436.899479382
1712,93,7200,1Fam,7,5,2,0,5,1945,1392,3,GasA,Y,980,0,2008,106678.884097604
1713,63,11143,1Fam,8,5,2,1,4,2006,799,4,GasA,Y,1498,0,2009,203391.944472849
1714,,4130,1Fam,6,5,1,1,7,1999,1237,4,GasA,Y,1458,0,2007,137528.070138102
1715,70,10386,1Fam,6,5,2,0,4,1957,993,3,GasA,Y,1056,0,2008,157732.610944643
1716,,6380,TwnhsE,6,5,1,0,5,2004,1057,2,GasA,N,1387,0,2009,161487.49763358
1717,50,21535,1Fam,5,7,1,0,5,1918,969,4,GasA,Y,1092,0,2006,128715.349057526
1718,60,8248,1Fam,5,8,1,0,7,2008,1237,3,GasA,Y,1590,0,2009,183202.935864541
1719,47,16770,1Fam,4,7,2,0,6,1975,940,2,Wall,Y,1102,0,2009,137117.038326485
1720,,12182,1Fam,6,9,1,1,4,1941,1256,3,GasA,Y,1733,0,2008,198534.402559742
1721,65,8176,1Fam,7,6,0,1,5,2006,1194,2,GasA,Y,1056,0,2010,176731.382436429
1722,90,5232,1Fam,7,8,1,1,6,1910,1079,3,GasA,Y,2519,0,2009,226604.276701748
1723,21,12735,1Fam,7,5,1,0,6,1954,1686,4,GasA,N,2520,0,2009,256452.411718086
1724,100,11194,1Fam,6,5,2,0,11,1947,683,3,GasA,N,1086,0,2006,117317.362983264
1725,79,16285,1Fam,5,6,3,0,5,2000,811,2,GasA,Y,841,0,2007,141855.358499903
1726,,5389,1Fam,5,8,2,0,8,1971,756,2,GasA,Y,1068,0,2009,80938.5579118251
1727,52,21453,1Fam,6,5,2,0,6,1999,1316,3,GasA,Y,1060,0,2007,177948.064250375
1728,68,15426,1Fam,8,5,2,0,11,1958,1028,2,GasA,Y,1992,0,2008,275909.031371693
1729,,8250,1Fam,6,9,1,0,7,2004,1470,2,GasA,Y,1291,0,2008,186490.715009832
1730,30,7642,1Fam,7,5,2,1,7,1949,940,3,GasA,Y,768,0,2008,129038.616451301
1731,,5389,1Fam,7,5,1,1,6,1975,721,4,GasA,Y,1360,0,2010,143337.23201175
1732,86,9180,1Fam,6,5,3,1,7,1941,572,2,GasA,Y,1641,0,2009,108577.369803125
1733,50,7931,1Fam,6,6,2,0,6,2005,1064,2,GasA,Y,1199,0,2007,160978.199412368
1734,21,13560,1Fam,4,5,0,2,7,1985,462,4,GasA,Y,1392,0,2009,164683.56163251
1735,50,3675,1Fam,8,7,2,1,7,1972,795,4,GasA,Y,1541,0,2009,167162.346034034
1736,50,12090,1Fam,5,5,1,0,5,1962,893,3,GasA,Y,1426,0,2008,123742.122538612
1737,74,9786,1Fam,9,6,1,0,6,1977,858,3,GasA,Y,2097,0,2006,255645.904277958
1738,60,11000,1Fam,6,6,2,0,6,1977,1208,1,GasA,Y,1764,0,2007,186152.404202494
1739,66,2572,1Fam,7,7,2,0,7,1977,948,2,GasA,Y,1919,0,2008,156375.322336676
1740,,8738,1Fam,6,5,2,1,6,1994,1428,3,GasA,Y,1268,0,2007,225372.118911832
1741,80,11616,Duplex,5,7,2,1,4,1926,1176,3,GasA,Y,1976,0,2009,177973.511273728
1742,80,8480,1Fam,4,5,2,0,9,1989,912,2,GasA,Y,1029,0,2008,141125.004123722
1743,,6240,1Fam,6,5,2,0,8,1988,964,4,GasA,Y,2614,0,2008,214314.91527767
1744,43,9525,1Fam,6,5,1,0,7,1952,808,3,GasA,Y,1350,0,2008,148681.482603966
1745,63,9505,1Fam,9,5,1,0,7,1940,650,3,GasA,Y,1302,0,2008,162522.689519038
1746,80,1596,1Fam,6,5,2,0,4,1922,0,3,GasA,Y,2519,0,2009,182424.879828146
1747,87,10000,1Fam,2,6,1,0,6,2005,840,3,GasA,Y,864,0,2008,109145.543897849
1748,100,11767,1Fam,7,6,2,0,6,1957,744,4,GasA,Y,1208,0,2006,130695.131312363
1749,69,11500,Twnhs,5,5,2,1,6,1915,926,2,GasA,Y,1949,0,2007,184860.346528964
1750,,12003,1Fam,6,5,2,1,9,1967,1541,3,GasA,Y,1509,0,2007,184754.041001514
1751,,10289,1Fam,6,5,2,1,8,2000,1477,3,GasA,Y,2082,0,2007,239615.236070873
1752,80,4712,1Fam,5,8,2,1,6,1981,1063,3,GasA,Y,2229,0,2009,187739.176302571
1753,40,10125,TwnhsE,7,5,2,1,7,1961,1208,3,GasA,Y,1719,0,2007,169324.985643146
1754,60,7301,1Fam,6,7,2,1,6,1920,1396,2,GasA,Y,1494,0,2007,212901.074014076
1755,54,7750,Twnhs,6,7,2,0,11,1965,1073,3,GasA,Y,1651,0,2006,176509.920757751
1756,78,9236,1Fam,7,5,1,0,6,1995,1330,3,GasA,Y,1496,0,2008,174822.745718146
1757,80,11600,1Fam,4,6,2,1,6,1940,928,1,GasA,Y,1422,0,2007,126480.61176557
1758,,8765,TwnhsE,7,8,2,0,5,2004,2153,2,GasA,N,1982,0,2009,249959.089111588
1759,75,13360,1Fam,6,5,1,0,6,1971,1498,4,GasA,Y,1430,0,2006,165282.154142999
1760,80,11924,1Fam,7,7,2,1,5,2006,943,3,GasA,Y,858,0,2007,134909.038678844
1761,,14215,1Fam,9,8,1,0,5,1971,811,2,GasA,Y,2158,0,2010,297168.164082071
1762,70,10007,1Fam,5,5,2,0,10,1966,1269,3,GasA,Y,987,0,2010,140675.437955094
1763,70,8730,1Fam,5,5,2,1,6,1906,1086,4,GasA,Y,1721,0,2007,134973.39790555
1764,60,10007,1Fam,5,5,1,1,9,1968,1559,3,GasA,Y,1350,0,2007,189735.375688097
1765,78,13568,2fmCon,7,6,2,1,7,2004,795,3,GasA,Y,1194,0,2007,157490.052438274
1766,75,2572,1Fam,7,6,2,0,4,2004,988,2,GasA,Y,910,0,2010,200492.874814737
1767,43,4500,1Fam,4,7,2,2,6,1958,0,2,GasA,Y,1383,0,2007,126116.448676605
1768,53,9549,1Fam,4,5,2,0,7,1993,912,4,GasA,Y,1820,0,2007,174473.182500286
1769,104,10000,1Fam,7,8,1,0,7,1988,0,3,GasA,Y,1734,0,2010,206895.287661796
1770,,10800,1Fam,4,7,2,1,5,1959,880,4,GasA,Y,3395,0,2008,223548.367553234
1771,75,9150,1Fam,5,7,1,1,8,1996,1385,3,GasA,Y,334,0,2009,141261.764832354
1772,,5000,1Fam,6,7,1,0,7,1954,1142,2,GasA,Y,2612,0,2007,190569.056319762
1773,73,7399,1Fam,7,5,2,0,7,1964,780,3,GasA,N,1944,0,2006,179264.577045261
1774,80,9100,1Fam,6,7,1,0,6,1948,1419,1,GasA,N,1077,0,2006,162885.365321833
1775,80,13500,Duplex,8,5,1,0,5,1963,806,2,GasA,Y,1393,0,2007,197132.732634776
1776,21,2572,1Fam,5,5,2,0,5,1976,848,3,GasA,Y,1099,0,2008,116228.827525769
1777,,1680,Twnhs,8,5,2,0,7,1997,729,4,GasA,Y,1536,0,2006,179450.65625921
1778,60,10335,1Fam,6,5,2,0,9,2003,1107,3,GasA,Y,789,0,2006,121974.973257048
1779,,10769,1Fam,7,6,2,0,6,2001,768,2,GasA,Y,1566,0,2006,249084.188167745
1780,60,8544,1Fam,7,5,1,0,9,2004,1370,3,GasA,Y,1208,0,2006,175623.645429815
1781,70,12552,1Fam,7,5,1,0,6,2008,1379,3,GasA,Y,767,0,2006,155169.821966395
1782,65,9337,1Fam,5,5,1,0,7,1920,1383,2,GasA,Y,1040,0,2008,123857.917731635
1783,104,8160,1Fam,4,6,1,1,5,2003,650,3,GasA,Y,1469,0,2006,156896.8268254
1784,47,16770,1Fam,7,6,2,0,6,1994,1117,3,GasA,Y,2098,0,2010,227126.894375217
1785,64,5063,1Fam,6,6,1,1,6,1928,1614,3,GasA,Y,1936,0,2008,153480.838693827
1786,44,4500,Twnhs,6,5,1,1,6,1939,1573,3,GasA,Y,2576,0,2007,198064.068052955
1787,55,13568,1Fam,5,7,2,0,7,2006,1896,2,GasA,Y,1344,0,2006,234230.983764824
1788,100,11249,1Fam,8,8,1,1,7,1972,845,5,GasA,Y,2022,0,2008,296388.54613259
1789,70,7056,1Fam,5,5,2,1,5,1976,1604,1,GasA,Y,816,0,2006,145273.016053276
1790,,11600,1Fam,7,7,2,0,4,1963,1104,3,GasA,N,1487,0,2009,167174.050803586
1791,,8730,1Fam,10,6,1,1,6,2006,1575,2,GasA,Y,832,0,2008,265310.228640276
1792,70,14803,1Fam,7,7,1,0,3,1962,936,3,GasA,Y,1232,0,2007,182177.509890052
1793,97,12227,TwnhsE,5,7,2,1,6,2005,844,3,GasA,N,1704,0,2006,158080.51464393
1794,,9450,1Fam,7,5,2,0,8,1932,796,3,GasA,Y,894,0,2006,176724.335118395
1795,53,7820,1Fam,4,2,2,1,8,2008,700,3,GasA,Y,2217,0,2008,172658.700209645
1796,68,14000,1Fam,8,5,3,0,6,1958,860,2,GasW,Y,1092,0,2007,200088.466760307
1797,70,6155,1Fam,4,5,1,1,7,1900,1092,3,GasA,Y,1248,0,2007,94734.2536718572
1798,65,11782,1Fam,9,5,1,0,8,1915,1204,3,GasA,Y,1355,0,2008,185353.107327085
1799,85,13650,TwnhsE,6,8,1,0,6,1958,1143,3,GasA,Y,1494,0,2006,184983.031239763
1800,,4608,1Fam,6,5,0,1,7,1918,1240,3,GasA,Y,1660,0,2010,128249.522140463
1801,74,8800,1Fam,5,5,1,0,7,2003,1386,3,GasA,Y,1915,0,2008,240827.395315854
1802,106,10421,TwnhsE,6,5,1,1,5,1988,1444,4,GasA,N,1552,0,2008,162706.726536379
1803,35,7175,1Fam,7,7,2,1,8,1972,928,3,GasA,N,2080,0,2008,198430.932820464
1804,48,13005,1Fam,7,8,2,0,8,1968,0,2,GasA,Y,1800,0,2010,190668.845468895
1805,65,13673,1Fam,7,3,2,0,6,1959,1468,3,GasA,Y,1644,0,2010,131651.436918951
1806,67,10594,1Fam,8,5,2,0,2,1950,1058,2,GasA,N,1120,0,2009,162490.410031482
1807,104,9830,1Fam,6,6,2,1,7,1920,1063,3,GasA,Y,912,0,2006,146109.649463625
1808,60,11841,1Fam,7,5,1,1,8,1977,1905,5,GasA,Y,1382,0,2009,132352.683176183
1809,84,7136,Duplex,4,6,2,0,7,1949,1734,2,GasA,Y,1080,0,2009,152363.931659326
1810,,9750,Duplex,7,8,2,0,6,1957,832,2,GasA,Y,1437,0,2006,184788.146788634
1811,75,8125,1Fam,5,4,1,1,6,1971,855,3,GasA,Y,2668,0,2009,208849.529494641
1812,111,8070,1Fam,4,6,2,0,6,1926,2006,2,GasA,Y,1236,0,2008,122182.757700744
1813,60,31770,TwnhsE,6,6,1,0,6,1977,845,3,GasA,Y,816,0,2009,153887.801082159
1814,52,10200,1Fam,7,5,2,1,7,1974,912,3,GasA,Y,1092,0,2009,158547.076277154
1815,70,22420,1Fam,7,7,2,1,5,1967,1580,2,GasA,Y,816,0,2010,214791.850212175
1816,75,7226,Twnhs,4,5,1,0,6,1910,864,3,GasA,Y,1224,0,2007,97129.5828549412
1817,66,13101,1Fam,7,7,2,0,6,2006,1581,2,GasA,Y,2358,0,2006,300461.723273357
1818,84,11198,1Fam,6,5,1,1,7,1925,1367,4,GasA,Y,1355,0,2009,133537.565670536
1819,102,2572,1Fam,7,5,2,0,9,1955,686,3,GasA,Y,1993,648,2008,168539.039971703
1820,60,9636,1Fam,4,5,2,0,9,1999,864,3,GasA,N,1436,0,2008,135665.245965554
1821,74,1596,1Fam,6,7,1,1,7,2005,964,3,GasA,Y,1665,0,2009,180337.946870957
1822,52,9760,1Fam,5,5,2,1,4,2006,1050,3,GasA,Y,1165,0,2010,203073.857490281
1823,57,4500,1Fam,6,6,2,0,6,2006,1092,3,GasA,Y,1788,0,2009,188252.20274596
1824,,9855,1Fam,8,7,2,1,6,1927,1164,3,GasA,Y,2224,0,2009,258672.372704883
1825,,5000,Duplex,3,6,1,1,8,1956,1470,3,GasA,Y,1284,0,2010,106270.191528837
1826,100,11214,1Fam,5,5,1,0,9,1992,894,3,GasA,Y,1801,0,2006,155339.838617584
1827,60,8248,1Fam,7,5,2,0,6,1928,1150,4,GasA,Y,1886,0,2008,191343.90256121
1828,35,14000,TwnhsE,8,5,3,0,7,1997,1175,3,GasA,Y,1370,0,2010,220219.404554791
1829,80,11200,1Fam,7,5,2,0,8,1999,1092,2,GasA,Y,864,0,2008,177604.460184815
1830,85,11194,TwnhsE,5,5,2,1,7,1977,660,2,GasA,Y,1382,0,2006,147555.555253895
1831,74,10000,1Fam,8,5,2,1,7,1926,796,3,GasA,Y,789,0,2009,183017.392579956
1832,21,10880,1Fam,5,6,1,1,5,1964,967,2,GasA,Y,1229,0,2010,137767.067389113
1833,,7200,1Fam,7,5,2,1,5,1920,1573,3,GasA,Y,2157,0,2008,186145.963087912
1834,90,10728,1Fam,6,6,2,0,7,1957,2078,2,GasA,Y,1502,0,2008,140039.112311156
1835,62,10382,1Fam,7,5,2,0,7,1965,972,3,GasA,Y,1739,0,2010,151891.717969329
1836,60,8544,1Fam,5,5,2,0,6,1962,855,2,GasA,Y,1092,0,2007,132873.065632387
1837,71,7875,1Fam,5,5,1,0,9,1957,1698,3,GasA,Y,2630,0,2007,219466.249773417
1838,62,6780,TwnhsE,5,5,1,0,6,1976,920,2,GasA,Y,2696,0,2006,144682.73584288
1839,30,19138,1Fam,7,5,2,1,8,2002,901,3,GasA,Y,951,0,2010,166104.635949936
1840,92,13560,1Fam,8,5,1,1,6,2006,1162,3,GasA,Y,1336,0,2008,185321.369268155
1841,84,11333,2fmCon,7,7,1,0,7,1958,672,3,GasA,Y,1479,0,2009,173427.085163944
1842,56,27650,1Fam,5,5,2,1,6,1965,858,3,GasA,Y,1235,0,2007,133506.616134099
1843,90,2645,1Fam,6,5,2,1,6,1900,883,3,GasA,Y,1479,0,2007,115634.079488877
1844,30,3196,1Fam,5,7,1,1,10,1957,993,2,GasA,Y,1252,0,2010,147639.821643497
1845,84,9000,1Fam,3,5,2,0,6,1955,1650,3,GasA,Y,1131,0,2007,126355.341990261
1846,80,12474,Duplex,7,6,2,1,7,2004,768,0,GasA,Y,1308,0,2007,171359.442491281
1847,100,9101,1Fam,7,5,2,1,6,2005,1734,2,GasA,Y,1684,0,2008,213510.650704437
1848,47,4456,TwnhsE,6,5,2,0,6,2003,816,3,GasA,Y,1440,0,2008,147133.951737485
1849,79,12464,1Fam,4,6,2,1,6,1975,1144,3,GasA,Y,1372,0,2006,185345.218567112
1850,,10628,1Fam,5,6,1,0,7,1991,1838,2,GasA,Y,1509,0,2006,171399.215261519
1851,63,8767,1Fam,6,5,1,1,5,1936,912,3,GasA,Y,1742,0,2009,148378.031101201
1852,50,15576,1Fam,7,7,1,0,6,1977,1302,3,GasA,Y,1604,0,2007,229555.096832285
1853,100,8400,1Fam,7,5,2,0,6,1952,1127,3,GasA,Y,1440,0,2006,172261.33499185
1854,40,9480,1Fam,5,5,2,0,4,1996,1032,3,GasA,Y,1664,0,2006,159918.060683602
1855,85,9400,1Fam,5,4,2,0,6,2006,0,4,GasA,Y,1924,0,2007,168242.634387373
1856,51,7200,1Fam,8,7,2,1,6,1970,808,4,GasA,Y,892,0,2007,200385.911779957
1857,85,8314,1Fam,5,5,1,0,6,2006,1496,3,GasA,Y,1442,0,2007,193717.377913755
1858,122,8480,1Fam,9,5,2,1,4,2005,1713,3,GasA,Y,1886,0,2006,264673.982674553
1859,82,5687,1Fam,6,5,2,0,8,1900,1454,3,GasA,Y,1920,0,2007,118444.217508361
1860,53,8712,1Fam,5,5,2,1,5,2006,1370,3,GasA,Y,1392,0,2006,157710.32392129
1861,53,10237,TwnhsE,7,4,1,0,8,2003,742,4,GasA,N,1458,0,2007,147214.298237447
1862,50,8461,1Fam,7,6,1,1,6,1959,1614,2,GasA,Y,1053,0,2007,220958.558065133
1863,98,8795,TwnhsE,6,5,1,0,5,2000,768,4,GasA,Y,1533,0,2010,133877.856540274
1864,51,6173,1Fam,5,7,1,0,7,1990,1638,3,GasA,Y,1954,0,2008,181783.431522944
1865,66,12677,1Fam,7,3,2,0,9,1950,1541,4,GasA,Y,1432,0,2007,143556.469693507
1866,65,10800,1Fam,7,5,2,0,6,2006,1148,3,GasA,Y,1800,0,2009,210432.279764263
1867,,2448,TwnhsE,7,5,2,1,5,1988,1078,3,GasA,Y,1252,0,2006,169148.43377586
1868,75,7200,1Fam,4,6,2,0,9,1961,1649,3,GasA,N,1554,0,2009,133687.744874118
1869,,5000,1Fam,10,6,1,0,7,2006,1145,2,GasA,Y,1277,0,2006,187032.97905647
1870,,10395,TwnhsE,7,4,2,1,6,1973,1517,2,GasA,Y,1414,0,2009,180291.272766907
1871,65,11210,1Fam,5,7,2,0,6,1998,1453,2,GasA,Y,1928,0,2006,223201.568169363
